Value,Quantity,References,Mouser Part Number,Adafruit Part Number
10 uf,1,C1,667-ECA-1HM100I,
22 pf,2,C2 C4,594-K220J10C0GF5UH5,
.1 uf,2,C3 C6,21RZ310-RC,
0.33 uf,1,C5,75-1C10Z5U334M050B,
47 nf,1,C7,75-1C10Z5U473M050B,
DIODESCH,2,D1 D2,771-BAT86133,
RPi_GPIO,1,J0,855-M20-6102045,2223
PWR Select;SPI Select,2,J1 J2,538-22-28-8034,
RJ45,2,J3 J4,592-RJ45-8N-S,
Termination,1,J5,649-67997-404HLF,
10K Ohms,1,R1,603-CFR-25JR-5210K,
60 Ohms,2,R2 R3,71-RN60C60R0B/R,
12 Volts,1,T1,571-1776118-2,
MCP2515,1,U1,579-MCP2515-I/P,
ISO1050DUB,1,U2,595-ISO1050DUBR,
LM78L05ACZ,1,U3,512-LM78L05ACZ,
8 MHz,1,X1,449-LFXTAL031818BULK,
